summary_path,reference_path,METEOR,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,Summary Coverage,Cosine Similarity,Average_Score
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_01_2023_01_14-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_01_2023_01_14.txt,0.06861190157715184,0.0008065379767823148,0.18040089086859687,0.03789004457652303,0.08611729769858946,0.7739578485488892,0.11006711409395974,0.6528834169239454,0.25723827688149686
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_02_2023_01_21-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_02_2023_01_21.txt,0.07521109855145636,0.0005460422803512805,0.19132767098793024,0.03400447427293065,0.09387572641931158,0.7795053124427795,0.10153846153846154,0.5888512938404992,0.2519030883993227
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_03_2023_01_28-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_03_2023_01_28.txt,0.05809549217674181,0.00037699289332559827,0.1534559289790742,0.03426395939086294,0.07736207989854152,0.7852445244789124,0.12557427258805512,0.6350012653311813,0.24911432044980567
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_04_2023_02_04-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_04_2023_02_04.txt,0.0601985342678395,0.00026648648132373144,0.1633259094283593,0.02823179791976226,0.08092056421677803,0.7907673120498657,0.10893854748603352,0.6166911434873239,0.2486288211216075
voiceapp\output\summaries_folder\glm4_9b_20241213_192515\CJG_05_2023_02_11-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_05_2023_02_11.txt,0.048575543164526884,1.1401678841958953e-05,0.13898201767753735,0.03354681305275999,0.06644315757391038,0.7887170910835266,0.10187353629976581,0.6149465351597656,0.2416032227701241
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_06_2023_02_18-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_06_2023_02_18.txt,0.06844097633504449,0.0008607512873847892,0.18259874069834,0.04410080183276059,0.08242701774470519,0.7756227850914001,0.11854460093896714,0.4942924261955386,0.2354776427407391
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_07_2023_02_25-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_07_2023_02_25.txt,0.039522692761373414,7.325546874301613e-06,0.10866983372921614,0.024955436720142603,0.060570071258907364,0.7822168469429016,0.06264501160092807,0.5600914273910775,0.22514766205007045
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_08_2023_03_04-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_08_2023_03_04.txt,0.05382970197636355,3.467691976314404e-05,0.14316174230886383,0.04327948796098751,0.07188547060615291,0.7959939241409302,0.08751458576429405,0.6372009471991923,0.24934085015889337
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG_09_2023_03_11-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_09_2023_03_11.txt,0.05912176833390056,0.0004315687220317389,0.1589364844903988,0.026012415016257756,0.08153618906942395,0.7761253714561462,0.10159817351598173,0.6034452684032967,0.2436584379273508
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG_10_2023_03_18-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\CJG_10_2023_03_18.txt,0.045435061550182454,2.8093975983521963e-05,0.11952422396286623,0.022060957910014518,0.06498404409631564,0.7763373255729675,0.07342657342657342,0.4808753144619491,0.21560643164718268
