tag_name,cosine_similarity
Ukraine,0.4329
Ukraine,0.4181
Ukraine,0.3994
Economics,0.3835
Ukraine,0.3812
protest,0.3659
farmer,0.3560
Economy,0.3549
Profits,0.3473
Union,0.3430
Ukraine,0.3342
europe,0.3042
Market,0.2991
limits,0.2808
Economy,0.2750
Border,0.2744
politics,0.2501
Politics,0.2254
entrepreneurs,0.2196
anti-corruption,0.2088
economics,0.2085
Transport,0.1991
Sovereignty,0.1984
government,0.1945
economy,0.1941
economy,0.1870
Agriculture,0.1862
Corruption,0.1761
communism,0.1733
politics,0.1695
Europe,0.1579
Business,0.1488
government,0.1466
War,0.1357
break,0.1283
Society,0.1229
EU,0.1200
Government,0.1160
Economics,0.1013
Ignorance,0.0522
War,0.0482
Money,0.0389
