tag_name,cosine_similarity
democracy,0.4033
"""Economy",0.3982
Poland,0.3758
Fuel,0.3609
Economy,0.3405
politics,0.3361
Ukraine,0.2965
invitation,0.2797
Economics,0.2578
Fuel,0.2477
Economy,0.2343
"Prices""",0.2245
economics,0.2226
holiday,0.2161
Poland,0.2044
absurdity,0.2040
Criticism,0.2023
Government,0.1987
Politics,0.1938
Market,0.1852
economy,0.1497
Crisis,0.1476
Money,0.1389
Alzheimer,0.1185
"Market""",0.0931
"""EU",0.0859
EU,0.0630
politics,0.0617
politics,0.0551
society,0.0382
energy,0.0053
War,0.0013
Idiocracy,-0.0076
