tag_name,cosine_similarity
influencers,0.5647
advertising,0.4654
celebrities,0.4597
influence,0.4098
advertising,0.4090
Scandal,0.3935
women,0.3603
Poland,0.3349
singers,0.2985
wealth,0.2970
influencers,0.2936
celebrity,0.2737
Hollywood,0.2669
actors,0.2264
business,0.2250
Secrets,0.2132
advertising,0.2124
popularity,0.2071
media,0.1992
success,0.1888
socialmedia,0.1762
corruption,0.1716
branding,0.1656
Influencers,0.1652
appearance,0.1622
history,0.1605
actors,0.1540
science,0.1529
Europe,0.1464
abuse,0.1430
appearances,0.1365
Relationships,0.1355
Influencers,0.1301
Influence,0.1215
abuse,0.1146
accounts,0.0933
aging,0.0906
ai,0.0895
ability,0.0642
controversy,0.0579
anti-corruption,0.0310
accounts,0.0131
america,0.0050
actors,-0.0298
access,-0.0326
