tag_name,cosine_similarity
stocks,0.4356
investors,0.4283
crisis,0.4169
investment,0.3938
wealth,0.3926
investment,0.3773
fear,0.3608
billionaire,0.3583
art,0.3499
finance,0.3377
investment,0.3263
predictions,0.3231
finance,0.3173
cash,0.3123
debt,0.3095
finance,0.2864
banking,0.2819
bankman,0.2794
money,0.2737
wealth,0.2711
prediction,0.2522
budget,0.2470
economics,0.2419
war,0.2172
banking,0.1949
assets,0.1564
anti-corruption,0.1457
america,0.1232
banking,0.1208
aging,0.1083
assets,0.1021
america,0.0793
2023,-0.0034
