tag_name,cosine_similarity
putin,0.4006
economy,0.3856
break,0.3285
crime,0.3237
crimesafety,0.3231
bankruptcy,0.3092
war,0.2879
beauty,0.2741
economics,0.2600
corruption,0.2558
america,0.2434
immigration,0.2298
economics,0.2184
america,0.2138
america,0.2129
mr,0.2032
realestate,0.1907
america,0.1825
america,0.1795
abuse,0.1630
supplies,0.1618
America,0.1494
"""abuse",0.1463
anger,0.1171
"anti-corruption""",0.1131
arms,0.1002
media,0.0937
absurdist,0.0870
corruption,0.0815
abuse,0.0814
2023,0.0456
ai,0.0450
aggression,0.0049
