tag_name,cosine_similarity
russia,0.4440
russia,0.4163
russia,0.4150
currency,0.4049
sanctions,0.3754
debt,0.3652
russia,0.3568
economy,0.3302
russia,0.3297
russia,0.3057
economy,0.2914
economics,0.2858
africa,0.2841
economy,0.2699
corruption,0.2681
naturalresources,0.2631
sanctions,0.2617
economics,0.2567
industry,0.2451
banking,0.2339
war,0.2225
military,0.1933
mining,0.1916
economy,0.1914
usa,0.1662
media,0.1619
africa,0.1616
arms,0.1508
aggression,0.1507
war,0.1438
balance,0.1245
war,0.1227
banking,0.1099
ban,0.0154
ai,0.0131
brics,-0.0092
