tag_name,cosine_similarity
pensions,0.4814
"pensions""",0.4220
ukraine,0.4199
ukraine,0.4024
corruption,0.3816
ukraine,0.3788
poland,0.3694
benefits,0.3551
pension,0.3370
bankruptcy,0.3367
"""ukraine",0.3218
corruption,0.3100
taxes,0.2935
crime,0.2923
migration,0.2842
corruption,0.2733
poland,0.2665
"""ukraine""",0.2623
economy,0.2592
scandals,0.2384
taxation,0.2154
banking,0.2139
bankruptcy,0.2042
america,0.1999
finances,0.1833
"""corruption""",0.1797
"""war""",0.1766
government,0.1643
banking,0.1621
aging,0.1607
aging,0.1577
economics,0.1539
anti-corruption,0.1460
justice,0.1359
"""impact""",0.1218
politics,0.1183
finance,0.1171
energy,0.1154
crime,0.1072
aid,0.1039
politics,0.1037
finance,0.0938
backlash,0.0870
authority,0.0790
"""abuse""",0.0752
war,0.0718
business,0.0714
"""banking""",0.0559
abuse,0.0458
accounts,0.0349
ai,-0.1107
