tag_name,cosine_similarity
Belarus,0.5722
mature-companies,0.4359
young-companies,0.3851
entrepreneurship,0.3540
Poland,0.3525
economy,0.3433
entrepreneurship,0.3291
entrepreneurship,0.3115
europe,0.2909
entrepreneurship,0.2789
entrepreneurship,0.2699
global-business,0.2663
entrepreneurship,0.2662
economy,0.2514
economy,0.2380
europe,0.2169
economics,0.2156
Energy,0.2125
media,0.1922
statistics,0.1670
entrepreneurship,0.1581
statistics,0.1462
media,0.1125
Difficulties,0.1077
respect,0.1069
ranking,0.0708
rankings,0.0346
