tag_name,cosine_similarity
influencers,0.4685
celebrities,0.4597
role models,0.4214
influencers,0.4157
conversation,0.3972
marketing,0.3970
break,0.3686
scandal,0.3615
success,0.3178
feminism,0.3154
fame,0.3153
celebrities,0.3105
popularity,0.3028
influence,0.2884
myths,0.2733
corporate,0.2717
economy,0.2677
attractiveness,0.2626
politics,0.2592
attraction,0.2582
hollywood,0.2498
interaction,0.2466
financial,0.2298
Popularity,0.2287
popularity,0.2270
market,0.2256
adolescence,0.2173
secrets,0.2150
economics,0.2106
marketing,0.2069
beauty industry,0.2063
media,0.1992
earnings,0.1858
generation,0.1736
society,0.1719
Economics,0.1678
success,0.1641
influence,0.1563
wealth,0.1550
influence,0.1485
Internet,0.1472
sex,0.1353
power dynamics,0.0441
exploitation,0.0233
internet,-0.0076
