tag_name,cosine_similarity
patriotism,0.5530
food-import,0.5500
blood,0.4867
sailing,0.4675
patriotism,0.4176
agriculture,0.4102
patriotism,0.3761
economy,0.3433
eu-zero-interest,0.3261
weather,0.3180
donation,0.3059
economy,0.2700
intellect,0.2527
ideology,0.2278
purchasing,0.2274
economy,0.2272
adventure,0.2268
knowledge,0.2254
economy,0.2139
rescue,0.1955
crisis,0.1943
prediction,0.1871
finance,0.1703
culture,0.1659
globalization,0.1618
storm,0.1599
corruption,0.1594
dilemma,0.1211
philosophy,0.0746
jargon,0.0689
