tag_name,cosine_similarity
currency,0.4627
economic cooperation,0.4469
warfare,0.3958
sanctions,0.3887
emerging markets,0.3504
economy,0.3302
debt,0.3221
sanctions,0.3193
russia,0.3132
independence,0.3113
international relations,0.2968
Russia,0.2808
economy,0.2708
economy,0.2699
economy,0.2697
sanctions,0.2617
economy,0.2426
economy,0.2401
geopolitics,0.2398
war,0.2363
economy,0.2236
military,0.2153
finance,0.2089
geopolitics,0.2051
international relations,0.2024
military,0.1933
resource,0.1873
economy,0.1810
mining,0.1808
war,0.1685
finance,0.1512
influence,0.1422
export,0.1399
comparison,0.1080
energy,0.0809
deception,0.0690
