tag_name,cosine_similarity
war,0.4717
Ukraine,0.4657
gold,0.4497
war,0.4484
corruption,0.3693
corruption,0.3627
ukraine,0.3582
economy,0.3576
economics,0.3207
politics,0.2815
Warfare,0.2726
reconstruction,0.2679
society,0.2528
funding,0.2446
efficiency,0.2425
war,0.2299
politics,0.2017
foreignaid,0.2013
Conflict,0.1805
economics,0.1658
Economics,0.1593
military_aid,0.1589
conflict,0.1571
economics,0.1399
military,0.1299
finance,0.1256
politics,0.1252
energy,0.1232
defence,0.1216
politics,0.0395
