tag_name,cosine_similarity
gas pipelines,0.5381
deportation,0.5218
land rights,0.4957
city,0.4886
land rights,0.4745
property disputes,0.4417
Poland,0.4096
natural resources,0.3975
mining,0.3835
laws,0.3514
democracy,0.3497
investment,0.3357
communism,0.3345
deposit protection,0.3283
mining,0.3135
wealth,0.2948
law,0.2813
infrastructure,0.2737
protest,0.2613
economy,0.2417
regulation,0.2290
government,0.2094
controversy,0.1946
resource extraction,0.1856
environment,0.1818
scale,0.1673
logic,0.1606
nationalinterest,0.1333
politics,0.1282
discussion,0.1092
