tag_name,cosine_similarity
pensions,0.4814
pensions,0.4561
Ukraine,0.4365
Ukraine,0.4272
vat_theft,0.4011
pensions,0.3996
corruption,0.3816
pension system,0.3790
foreign policy,0.3515
vat fraud,0.3496
Poland,0.3482
migration,0.3440
Poland,0.3373
pension,0.3370
bankruptcy,0.3367
globalization,0.3242
ukrainian_mafia,0.3156
debt,0.3123
Ukraine,0.3090
tax_fraud,0.3067
tax,0.2986
corruption,0.2733
immigration,0.2731
economy,0.2592
donation,0.2566
finances,0.2393
immigration,0.2255
justice,0.2189
corruption,0.2158
politics,0.2121
corruption,0.2091
economy,0.2020
migration,0.1939
black market,0.1897
economy,0.1890
finance,0.1880
political corruption,0.1764
healthcare,0.1712
economic,0.1505
economics,0.1335
remittances,0.1261
finance,0.1171
disparity,0.0982
economy,0.0894
budget,0.0864
economy,0.0851
finance,0.0819
injustice,0.0663
budget,0.0654
inefficiency,0.0387
deception,-0.0010
