tag_name,cosine_similarity
china,0.5069
china,0.4414
China,0.4252
china,0.4206
stocks,0.4057
china,0.3993
bankruptcy,0.3981
china,0.3835
china,0.3788
china,0.3719
china,0.3325
realestate,0.3108
Economy,0.3054
economy,0.2948
realestate,0.2938
realestate,0.2868
scam,0.2810
realestate,0.2777
investing,0.2731
debt,0.2642
debt,0.2600
evergrande,0.2115
economy,0.1788
debt,0.1773
government,0.1743
realestate,0.1701
Face,0.1696
development,0.1605
culture,0.1431
investment,0.1154
corruption,0.0944
government,0.0865
government,0.0588
