tag_name,cosine_similarity
taxes,0.5031
taxation,0.4658
taxation,0.4637
parliament,0.4075
governance,0.3582
corruption,0.3442
controllers,0.3365
disorganization,0.3202
pause,0.3015
parliament,0.2899
invitation,0.2873
government,0.2727
control,0.2689
houses,0.2560
relaxation,0.2474
chaos,0.2359
citizenship,0.2277
freedom,0.2014
economy,0.1996
surveillance,0.1956
nobleman,0.1846
freedom,0.1839
emissions,0.1783
control,0.1748
cost,0.1605
miscommunication,0.1467
inequality,0.1196
politics,0.1002
preparation,0.0198
inevitability,-0.0172
