tag_name,cosine_similarity
patriotism,0.3420
advertising,0.3395
beer,0.3209
beer,0.3176
alcohol,0.3058
sexism,0.2848
brewing,0.2716
gender,0.2676
marketing,0.2592
artist,0.2547
brand,0.2473
advertising,0.2453
knowledge,0.2331
production,0.2328
IT,0.2309
LGBTQ+,0.2143
controversy,0.2014
transvestite,0.1965
beer,0.1867
gender_identity,0.1834
break,0.1833
economy,0.1817
advertising,0.1781
gender_roles,0.1493
beer,0.1467
politics,0.1384
marketing,0.1327
rural_culture,0.1306
extremism,0.1156
advertising,0.0720
USA,0.0105
international,0.0026
