tag_name,cosine_similarity
inflation,0.5249
poland,0.5046
romance,0.4327
realestate,0.4172
currency,0.3525
inflation,0.3486
love,0.3465
inflation,0.3343
realestate,0.3064
realestate,0.3020
economy,0.2957
economy,0.2955
realestate,0.2951
housing,0.2940
economy,0.2766
emotions,0.2766
reality,0.2730
journalism,0.2647
finance,0.2631
realestate,0.2560
economics,0.2557
economy,0.2515
relationships,0.2488
market,0.2446
realestate,0.2416
poland,0.2296
speculation,0.2184
economics,0.2165
emotions,0.2106
illusion,0.2086
media,0.2030
economy,0.2019
housing,0.1898
thought,0.1559
betrayal,0.1246
