tag_name,cosine_similarity
patriotism,0.5530
blood,0.4867
History,0.4827
sailing,0.4675
patriotism,0.4176
farming,0.4159
agriculture,0.4102
Ukraine,0.3840
patriotism,0.3761
ukraine,0.3571
chicken,0.3566
netherlands,0.3205
capitalism,0.3186
weather,0.3180
survival,0.2995
inflation,0.2974
poland,0.2940
economics,0.2888
economy,0.2700
InformationLiteracy,0.2675
import,0.2563
body,0.2524
communism,0.2493
eu,0.2362
economy,0.2272
economy,0.2139
CriticalThinking,0.2019
politics,0.1845
property,0.1816
finance,0.1703
netherlands,0.1684
storm,0.1599
risk,0.1520
politics,0.1383
ethics,0.1022
trade,0.0704
river,0.0536
discourse,0.0227
