tag_name,cosine_similarity
investments,0.4659
inflation,0.4497
StockMarket,0.4202
WarrenBuffett,0.4198
crisis,0.4169
Investment,0.4150
investment,0.4147
investments,0.4060
investment,0.3852
investment,0.3681
wealth,0.3611
investment,0.3540
investment,0.3347
art,0.3222
fear,0.3137
accumulation,0.2942
wealth,0.2711
money,0.2564
economics,0.2455
wealth,0.2339
money,0.2308
war,0.2228
investment,0.2028
money,0.1956
economics,0.1946
alliances,0.1878
politics,0.1751
government_debt,0.1735
economy,0.1484
controversy,0.1348
buffett,0.1076
elderly,0.0561
legend,0.0059
