tag_name,cosine_similarity
company,0.5913
business,0.4604
corruption,0.4567
corruption,0.4069
renewableenergy,0.4061
heatpump,0.3751
wealth,0.3613
heatpump,0.3532
business,0.3407
industry,0.3327
ethics,0.3143
manufacturing,0.3098
globalization,0.2870
climate,0.2854
poland,0.2783
economy,0.2774
renewableenergy,0.2745
environment,0.2727
regulation,0.2574
climate,0.2534
wismann,0.2503
regulation,0.2474
poland,0.2426
politics,0.2403
investment,0.2368
germany,0.2349
break,0.2302
technology,0.2069
business,0.1569
policy,0.1315
mergers_acquisitions,0.1229
history,0.0600
technology,0.0464
