tag_name,cosine_similarity
poland,0.4433
wealth,0.4042
africa,0.3514
food,0.3459
hunger,0.3316
corruption,0.3224
thirdworld,0.3078
distribution,0.2684
nature,0.2680
europe,0.2621
security,0.2543
predation,0.2540
economy,0.2361
resources (focusing on geothermal specifically),0.2360
survival,0.2348
crime,0.2340
agriculture,0.2283
wealth_distribution,0.2276
hunger,0.2226
politics,0.2099
minerals,0.2055
future\_trends,0.1936
europe,0.1930
logistics,0.1897
history,0.1394
leadership,0.1378
elites,0.1226
hunger,0.1124
european\_commission,0.1075
