tag_name,cosine_similarity
electriccars,0.5504
electriccars,0.5025
electriccars,0.4665
electricity,0.4605
batteryproduction,0.4591
electric cars,0.4321
battery life,0.4321
electric_cars,0.4308
carbonemissions,0.3854
carbon footprint,0.3727
electric_cars,0.3579
eulegislation,0.3491
cars,0.3452
electric_cars,0.3355
battery_production,0.3152
environment,0.2821
environmental_impact,0.2776
automotive,0.2701
monopoly,0.2339
transportationpolicy,0.2196
environment,0.2134
maintenancecosts,0.1775
environment,0.1709
resourceutilization,0.1398
safety,0.1280
global_control,0.0132
deception,0.0022
