tag_name,cosine_similarity
deportation,0.5218
city,0.4886
poland,0.4463
landownership,0.4413
property,0.3964
poland,0.3928
poland,0.3839
mining,0.3835
democracy,0.3497
investment,0.3357
communism,0.3345
mining,0.3274
pipelines,0.3263
minerals,0.3144
mining,0.3135
wealth,0.2948
law,0.2813
law,0.2713
protest,0.2632
protest,0.2613
governance,0.2567
economy,0.2417
regulation,0.2290
philosophy,0.2277
conversation,0.2160
conflict,0.2057
deposits,0.1800
politics,0.1282
agriculture,0.1036
energy,0.0472
