tag_name,cosine_similarity
celebrities,0.5226
celebrities,0.4709
celebrities,0.4696
influence,0.3591
scandal,0.3575
CEO,0.3551
woman,0.3435
entrepreneurship,0.3414
children,0.3081
women,0.2858
Success,0.2655
Positivity,0.2642
Positivity,0.2642
Positivity,0.2642
Positivity,0.2642
music,0.2639
media,0.2576
exploitation,0.2538
Business,0.2472
positivity,0.2464
positivity,0.2464
positivity,0.2464
positivity,0.2464
positivity,0.2464
Repetition,0.2227
Repetition,0.2227
Repetition,0.2227
Repetition,0.2227
Repetition,0.2227
Repetition,0.2227
Repetition,0.2227
Optimism,0.2178
sentiment,0.2134
wealth,0.2131
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
success,0.2079
Success,0.2063
Success,0.2063
Success,0.2063
Success,0.2063
Success,0.2063
Success,0.2063
Success,0.2063
Success,0.2063
achievement,0.2025
relationships,0.2013
repetition,0.2013
idols,0.1998
money,0.1997
sexualization,0.1973
myth,0.1948
economy,0.1898
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
repetition,0.1834
stereotype,0.1808
scandals,0.1661
Perseverance,0.1638
Optimization,0.1503
celebrity,0.1493
youth,0.1419
economics,0.1402
scandal,0.1360
economy,0.1312
secrecy,0.1184
ethics,0.0993
power,0.0693
Indifference,0.0640
affirmation,0.0366
affirmation,0.0366
affirmation,0.0366
affirmation,0.0366
affirmation,0.0366
affirmation,0.0366
affirmation,0.0366
affirmation,0.0366
internet,0.0008
