tag_name,cosine_similarity
inflation,0.5249
romance,0.4327
dream,0.3581
real estate,0.3515
inflation,0.3486
love,0.3465
market,0.3360
reality,0.2730
journalism,0.2647
economics,0.2640
economy,0.2515
purchasingpower,0.2468
market,0.2446
real estate,0.2435
euphoria,0.2383
economics,0.2351
housing,0.2347
love,0.2261
finances,0.2179
emotions,0.2106
housing,0.2098
media,0.2030
pain,0.2019
economy,0.1900
housing,0.1898
prices,0.1823
downturn,0.1724
thinking,0.1539
deception,0.1488
prediction,0.1487
betrayal,0.1246
decline,0.1172
realty,0.0770
