tag_name,cosine_similarity
inflation,0.6165
inflation,0.6112
inflation,0.6060
inflation,0.6057
inflation,0.6041
inflation,0.4816
inflation,0.4793
inflation,0.4525
economies,0.4214
globalization,0.3643
magic,0.3550
pandemic,0.3369
sustainability,0.3155
economy,0.3145
economy,0.3043
economy,0.2854
government,0.2830
economy,0.2654
break,0.2414
growth,0.2401
economy,0.2314
option,0.2131
economy,0.2022
government,0.1946
politics,0.1883
statistics,0.1454
manipulation,0.1215
manipulation,0.0435
manipulation,0.0294
uncertainty,0.0293
