tag_name,cosine_similarity
war,0.4452
racism,0.4307
racism,0.4159
economy,0.3856
Mariusz,0.3651
war,0.3125
crime,0.3100
conflict,0.2842
pausing,0.2831
politics,0.2754
beauty,0.2741
reserves,0.2718
missiles,0.2706
economy,0.2462
unemployment,0.2407
economy,0.2387
economy,0.2374
safety,0.2198
corporations,0.2109
military,0.1982
immigration,0.1893
policing,0.1825
military,0.1759
supplies,0.1755
controversy,0.1692
security,0.1601
media,0.1561
retail,0.1368
race,0.1170
realty,0.0469
media,0.0437
silence,0.0299
layoffs,0.0288
