tag_name,cosine_similarity
russia,0.4720
currency,0.4627
war,0.4394
russia,0.4082
sanctions,0.3887
russia,0.3707
Russia,0.3661
russia,0.3382
economy,0.3302
debt,0.3221
sanctions,0.3193
russia,0.3132
independence,0.3113
economics,0.2866
africa,0.2841
war,0.2805
economy,0.2699
sanctions,0.2617
economy,0.2426
economy,0.2401
war,0.2363
growth,0.2310
oil,0.2301
economy,0.2236
resources,0.2183
money,0.2082
military,0.1933
war,0.1928
gold,0.1916
economy,0.1810
resources,0.1781
politics,0.1464
debt,0.1416
comparison,0.1080
brics,0.0321
brics,-0.0092
