tag_name,cosine_similarity
emigration,0.5508
migration,0.5135
moroccans,0.4458
culture,0.4317
assimilation,0.4300
emigration,0.4187
economy,0.3696
migration,0.3655
migration,0.3631
culture,0.3610
referendum,0.3549
economy,0.3249
france,0.3233
money,0.3099
germany,0.2998
cultures,0.2867
assimilation,0.2730
culture,0.2650
language,0.2599
work,0.2581
society,0.2538
war,0.2428
media,0.2124
citizenship,0.2112
politics,0.2056
economics,0.1955
civilization,0.1637
newspaper,0.1567
conflict,0.1558
migration,0.1509
success,0.1444
culture,0.1388
honesty,0.1304
country,0.1049
narration,0.0384
media,0.0058
