tag_name,cosine_similarity
influencers,0.4685
models,0.4373
influencers,0.4157
conversation,0.3972
break,0.3686
women,0.3648
scandal,0.3615
poland,0.3396
marketing,0.3230
success,0.3178
feminism,0.3154
attractiveness,0.3139
money,0.3137
investors,0.2924
interruption,0.2875
shareholders,0.2820
influencers,0.2760
lady,0.2459
youth,0.2425
secrets,0.2150
fame,0.2077
marketing,0.2069
popularity,0.2058
media,0.1992
greed,0.1937
citizens,0.1903
earnings,0.1858
money,0.1846
prostitution,0.1688
entertainment,0.1655
ceo,0.1648
cpt,0.1623
profession,0.1602
myth,0.1573
relationships,0.1565
partnership,0.1474
world,0.1470
internet,0.1307
censorship,0.1301
socialmedia,0.1057
dollars,0.0927
fishing,0.0888
warrior,0.0843
influence,0.0667
bonus,-0.0285
