tag_name,cosine_similarity
ukraine,0.4776
companies,0.4711
poland,0.4517
farmers,0.4475
ukraine,0.4139
ukraine,0.4057
poland,0.3776
poland,0.3759
elections,0.3727
poland,0.3632
economics,0.3599
union,0.3362
Ukraine,0.3342
poland,0.3314
taxes,0.3248
protesting,0.3231
economy,0.3137
eu,0.2844
protests,0.2717
profits,0.2671
eu,0.2622
politics,0.2501
economy,0.2426
economy,0.2330
business,0.2094
negotiation,0.2069
economy,0.2037
transport,0.2014
crime,0.1765
war,0.1684
questions,0.1602
mafia,0.1601
business,0.1579
boss,0.1406
cost,0.1386
business,0.1142
support,0.0902
taxes,0.0883
commission,0.0765
politics,0.0741
reflection,0.0661
money,0.0489
