tag_name,cosine_similarity
emigration,0.5508
migration,0.5135
nationality,0.4857
emigration,0.4473
culture,0.4317
assimilation,0.4300
immigration,0.4283
emigration,0.4187
economy,0.3696
culture,0.3610
globalization,0.3572
germany,0.3350
economy,0.3249
money,0.3099
germany,0.2998
assimilation,0.2730
culture,0.2650
elections,0.2609
language,0.2599
society,0.2538
war,0.2428
car,0.2254
politics,0.2056
economics,0.1955
language,0.1918
Africa,0.1905
racism,0.1901
europe,0.1795
newspaper,0.1567
naturalization,0.1531
season,0.1481
criticism,0.1344
children,0.1291
culture衝突,0.1174
world_economy,0.1165
potential,0.1121
country,0.1049
nail,0.0357
cocoon,-0.0807
