tag_name,cosine_similarity
taxes,0.5031
taxation,0.4658
taxation,0.4637
break,0.3780
governance,0.3582
disorganization,0.3202
bureaucracy,0.3174
rights,0.3170
parliament,0.2899
invitation,0.2873
government,0.2727
relaxation,0.2474
chaos,0.2359
database,0.2334
costs,0.2283
citizenship,0.2277
property,0.2190
fear,0.2163
economics,0.1896
cybersecurity,0.1866
nobleman,0.1846
underpayment,0.1658
incompetence,0.1516
money,0.1457
economics,0.1434
privacy,0.1065
finance,0.1063
injustice,0.1007
politics,0.1002
simplicity,0.0782
privacy,0.0740
copyrights,0.0483
