tag_name,cosine_similarity
ukraine,0.4776
farmers,0.4475
ukraine,0.4433
transportationregulation,0.4331
poland,0.3759
transportation,0.3569
europol,0.3447
ukraine,0.3313
protesting,0.3231
economy,0.3137
europeancommission,0.3124
business,0.2772
protests,0.2717
competition,0.2669
transportation,0.2609
economy,0.2426
border,0.2268
politics,0.2239
cargo,0.2185
politics,0.2113
business,0.2094
transport,0.2014
currency,0.1812
costs,0.1771
strategy,0.1767
crime,0.1765
government,0.1726
business,0.1579
politics,0.1557
boss,0.1406
thinking,0.1344
government,0.1310
costs,0.1301
business,0.1142
ignorance,0.0817
taxation,0.0809
prices,0.0774
country,0.0757
politics,0.0741
finance,0.0624
bankruptcy,0.0602
power dynamics,0.0287
