tag_name,cosine_similarity
inflation,0.5563
inflation,0.5284
inflation,0.5136
inflation,0.4537
inflation,0.3916
currency,0.3764
inflation,0.3587
economy,0.3321
currency,0.3126
economy,0.3126
finance,0.3114
economy,0.3113
cryptocurrency,0.3070
currencies,0.2998
finance,0.2946
economics,0.2814
economy,0.2812
currency,0.2782
economics,0.2760
normalsity,0.2458
economy,0.2359
economics,0.2320
deflation,0.2276
economics,0.2252
stabilization,0.2244
elections,0.2180
finance,0.2120
economy,0.1836
politics,0.1530
politics,0.1321
politics,0.1271
risk,0.1156
development,0.0973
politics,0.0760
politics,0.0724
stability,0.0086
