tag_name,cosine_similarity
russia,0.5228
ukraine,0.5016
racialprofiling,0.4485
war,0.4452
racism,0.4307
terrorism,0.4289
economy,0.3856
policebias,0.3819
racialism,0.3693
warstrategy,0.3378
civilrights,0.3103
financialcrisis,0.3100
crime,0.3100
slums,0.3025
security,0.3003
conflict,0.2842
politics,0.2754
break,0.2747
beauty,0.2741
reserves,0.2718
immigrants,0.2627
americanrelations,0.2248
corporations,0.2109
economics,0.1877
moment,0.1849
military,0.1759
security,0.1601
conflict,0.1295
culture,0.1248
reserve,0.1122
corporate,0.1073
layoffs,0.0288
layoffs,-0.0047
