tag_name,cosine_similarity
electriccars,0.5504
electriccars,0.5219
electricity,0.4484
electriccars,0.4268
electricity,0.4013
car-restrictions,0.4001
electricity,0.3895
environmentalism,0.3732
electric_cars,0.3579
batteries,0.3514
electricvehicles,0.3422
carbonemission,0.3194
sustainability,0.3082
carrepair,0.2986
battery,0.2953
ecology,0.2867
carbon,0.2792
european-parliament,0.2744
carbattery,0.2724
emission,0.2693
environmentalimpact,0.2556
monopoly,0.2339
eu-directives,0.2025
industry_control,0.1896
repairability,0.1824
communism,0.0935
dangerous,0.0736
