tag_name,cosine_similarity
Putin,0.4351
russia,0.4276
corruption,0.3604
corruption,0.3480
currency,0.3214
russia,0.3136
corruption,0.3093
funding,0.3017
moscow,0.2990
moscow,0.2624
wagnergroup,0.2615
mining,0.2473
gold,0.2133
africa,0.2103
money,0.1980
politics,0.1858
payment,0.1737
mafia,0.1662
justice,0.1597
bribery,0.1544
politics,0.1540
politics,0.1504
moscow,0.1460
payments,0.1455
privatetroops,0.1452
billions,0.1379
president,0.1119
fraud,0.1098
rebelling,0.1059
stealing,0.0942
illegally,0.0828
ambitions,-0.0007
superiors,-0.0343
