tag_name,cosine_similarity
ukraine-war,0.5477
racial profiling,0.5468
putin-russia,0.4982
war,0.4452
racism,0.4307
economy downturn,0.4293
great war,0.4223
racism,0.4159
economy,0.3856
iraq-saddam-hussein,0.3811
racism,0.3780
corporations-economy-jobs,0.3734
political ideologies,0.3673
Crime (crime),0.3656
police brutality,0.3635
us economy,0.3269
humanitarian crisis,0.3196
united-states-supplies,0.3127
crime,0.3100
united states monument,0.3075
slums,0.3025
employees,0.2974
conflict,0.2842
immigration crisis,0.2798
small state aggression,0.2763
break,0.2747
beauty,0.2741
reserves,0.2718
missiles,0.2706
geopolitics,0.2664
post-conflict recovery,0.2592
ukraine,0.2516
ammunition,0.2513
strategic assets,0.2431
ukraine,0.2395
"usa
<|end_answer|>This AI has identified the main themes as Artificial Intelligence (ai)",0.2355
markets,0.2349
resources,0.2298
financial-market-debt,0.2252
international relations,0.2179
illegal immigration,0.2179
iron,0.2103
illegally immigrating people,0.2096
crime statistics,0.2094
"public perception
</|im_end|>",0.2083
geostrategic implications,0.2064
supplies,0.2061
america alliance,0.2056
bay-britain,0.2045
defense capabilities,0.2020
real estate,0.1998
military,0.1990
political ramifications,0.1941
united states,0.1934
united-states,0.1932
and general occurrences there.,0.1860
social media perception,0.1848
social justice,0.1806
and USA (usa) in the given text. The tags are based on the topics discussed such as information from United States,0.1772
britain,0.1763
military,0.1759
working class,0.1746
absurdity,0.1704
United States,0.1649
security,0.1601
weapon,0.1542
policy,0.1518
violence,0.1498
robberies,0.1459
george floyd,0.1457
iron-reserves,0.1445
useless-money-printing,0.1353
historical comparisons,0.1303
conflict,0.1295
crime,0.1217
pornography controversy,0.1206
ai,0.1187
love,0.1156
reserve,0.1122
fireplaces,0.1073
global affairs,0.1058
global security,0.0984
world-events,0.0963
international law|,0.0962
factors,0.0961
power dynamics,0.0924
2008,0.0854
power,0.0799
indicators,0.0770
replenishment,0.0714
bay of england,0.0636
economic impact,0.0618
shop windows,0.0516
robbery,0.0512
stupid,0.0289
slump,0.0217
auditions,-0.0140
brave,-0.0149
fatal,-0.0231
