tag_name,cosine_similarity
"and ""president of a foundation named Więcej Mądrości"". These elements are related to finance and expertise",0.7371
economic forecasts in Poland,0.6452
inflation forecast,0.5460
economic forecasts,0.5204
"I analyzed the text for keywords and themes that stand out in relation to its main topics: ""financial influence cases""",0.5109
market manipulation,0.4543
forecasts,0.4438
music,0.4074
cryptocurrency,0.3922
propaganda techniques,0.3841
break,0.3716
business,0.3648
earnings,0.3558
forecasting methodology,0.3555
russia,0.3520
National Bank of Poland,0.3496
financial,0.3494
rest,0.3433
ukraine,0.3384
expert,0.3291
prediction,0.3227
government,0.3220
prediction,0.3202
mass communication,0.3167
world-history,0.3162
shepherd-sheep metaphor,0.3148
predictability,0.3089
public opinion manipulation,0.3076
crypto,0.3063
forecasts,0.3037
economic trends,0.3021
prediction,0.2874
government,0.2799
information warfare,0.2772
finance,0.2725
real estate,0.2693
specialist,0.2690
economic policy,0.2647
speculation,0.2645
prediction accuracy,0.2614
inflation,0.2607
china,0.2541
world,0.2536
economy,0.2526
media,0.2413
follow the leader approach,0.2399
public opinion,0.2255
political dissent,0.2248
uncertainty,0.2223
corporate control,0.2217
financial markets,0.2191
uncertainty,0.2141
growth,0.2121
expertise,0.2058
political pressure,0.2051
market,0.2024
complexity,0.2016
political rebellion,0.1933
surveillance state,0.1864
messaging strategies,0.1853
sheep,0.1808
government secrecy,0.1766
facts,0.1695
censorship,0.1632
war,0.1611
interpretation,0.1605
"""experts""",0.1546
housing,0.1485
authority control,0.1443
central bank,0.1388
"""managing various fields""",0.1384
analysis,0.1240
favoritism,0.1215
shocking,0.1212
warning message,0.1174
"interview
</d> <d>
To arrive at these tags",0.1148
president,0.1146
information dissemination,0.1118
policymaking,0.1117
disdain,0.0993
popularity,0.0985
opinion,0.0956
expert,0.0926
expertise,0.0916
slaughter,0.0902
context,0.0803
under-appreciation,0.0768
profit,0.0736
promotion,0.0487
brilliance,0.0333
strangeness,0.0276
hence the generated tags.</d>,-0.0300
