tag_name,cosine_similarity
"gas pipeline
</s>
The text discusses legal issues related to democracy and the construction of gas pipelines",0.6176
Polish deposits,0.6048
My city,0.5694
deportation,0.5218
so the main topics are law and democracy. The mention of a gas pipeline as a special matter implies that this is also an important theme in the text. Therefore,0.5218
Poland's natural resources,0.5034
poland,0.4616
mining law,0.4465
landownership,0.4413
kowalski,0.4368
"and ""gas pipeline"".",0.4055
land,0.3925
poland,0.3839
mining,0.3835
geopolitical implications,0.3826
Poland,0.3750
"""democracy""",0.3717
mining anything,0.3705
construction,0.3632
controversy,0.3558
democracy,0.3497
social protest,0.3411
naturalresources,0.3400
communism,0.3345
pipeline construction,0.3330
gas industry,0.3311
miningactivities,0.3133
civil protest,0.3067
oil shale,0.2966
energy security,0.2950
Mr Mariusz,0.2829
law,0.2813
environmental concerns,0.2802
"the relevant tags are ""law""",0.2728
law,0.2713
land-use,0.2661
economic impact,0.2621
Bad Light beer,0.2529
economy,0.2417
safety,0.2376
nickel,0.2348
resourcemanagement,0.2319
long-term planning,0.2311
citizens,0.2308
regulations,0.2296
protection,0.2283
education,0.2260
"geologist
<|end_of_text|>",0.2212
proper preparation,0.2156
protectionsystems,0.2071
resource,0.2055
national interest,0.2011
technology,0.1996
politically,0.1992
gold,0.1982
national territory,0.1881
concessions,0.1868
environment,0.1818
logic,0.1690
consultation,0.1589
agreement,0.1495
legalmechanisms,0.1413
licenses,0.1289
party,0.1197
agreement,0.1134
scale,0.1084
individuals,0.1029
interests,0.0845
hectare,0.0794
change,0.0776
"different approach
</end_of_turn>",0.0734
mine,0.0695
house,0.0672
conflict,0.0516
see differently,0.0134
internet,-0.0290
