tag_name,cosine_similarity
cinema,0.4033
boast,0.1807
money,0.2325
racism,0.2509
propaganda,0.3142
society,0.2790
power,0.2539
movies,0.3687
actors,0.2408
tvseries,0.1418
implementation,0.0178
end,0.2405
filmindustry,0.3538
apocalypse,0.2803
data,-0.0252
ratings,0.2783
quality,0.1928
media,0.2379
failure,0.1998
success,0.2744
woke,0.1465
revenue,0.2544
communism,0.2360
victims,0.1949
entertainment,0.2973
ideology,0.2639
film,0.3771
flop,0.0792
boxoffice,0.0370
investment,0.1886
viewership,0.3206
industry,0.1871
diversity,0.1704
funding,0.1960
humility,0.2331
