tag_name,cosine_similarity
social issues,0.8976
climate change,0.8961
audience reaction,0.8943
unsuccessful productions,0.8937
Ring of Power,0.8934
film industry,0.8923
financial results,0.8922
economic failures,0.8921
propaganda,0.8920
media business,0.8920
sexual orientation,0.8920
superproductions,0.8913
cultural values,0.8900
film criticism,0.8897
entertainment,0.8894
box office,0.8885
communism,0.8880
movie ratings,0.8880
production costs,0.8873
apocalypse,0.8871
fan rebellion,0.8864
disappointment,0.8852
representation,0.8849
cinema,0.8849
ideology,0.8844
actors,0.8839
studios,0.8827
finance,0.8824
viewers,0.8809
directors,0.8803
society,0.8802
Oscars,0.8786
Hollywood,0.8779
television,0.8773
Star Wars,0.8771
showrunners,0.8764
Maverick,0.8759
hits,0.8756
implementation,0.8744
history,0.8742
woke,0.8736
equality,0.8725
discrimination,0.8723
doom,0.8721
Avatar,0.8721
movie,0.8720
politics,0.8693
funding,0.8681
success,0.8675
gender,0.8658
series,0.8655
power,0.8648
Witcher,0.8607
Amazon,0.8604
