tag_name,cosine_similarity
smallbusiness,0.4888
głuchołazie,0.4541
meritocracy,0.4239
maximumprice,0.4192
minimumwage,0.3934
hardwork,0.3699
finance,0.3494
poverty,0.3407
politics,0.3375
economy,0.3348
economics,0.3226
entrepreneurship,0.3167
sovereignty,0.3082
corruption,0.3078
business,0.3061
law,0.2973
fact,0.2927
poland,0.2847
complexity,0.2825
taxes,0.2823
regulations,0.2814
companies,0.2768
income,0.2749
rules,0.2740
russia,0.2740
markets,0.2702
assistance,0.2684
foreign,0.2675
crime,0.2671
mining,0.2574
murder,0.2573
radio,0.2569
fairness,0.2567
costs,0.2554
prices,0.2546
statistics,0.2537
conversation,0.2519
media,0.2518
studies,0.2507
energy,0.2505
poles,0.2505
success,0.2502
banks,0.2498
it,0.2491
fuel,0.2465
revenue,0.2453
entrepreneur,0.2433
restrictions,0.2426
coal,0.2368
control,0.2368
competition,0.2364
ranking,0.2333
purchases,0.2311
regulation,0.2307
justice,0.2301
drop,0.2289
campaign,0.2258
recognition,0.2258
trends,0.2248
support,0.2231
crisis,0.2214
broadcasting,0.2186
sanctions,0.2180
guest,0.2164
difficulty,0.2162
europe,0.2136
inequality,0.2109
market,0.2099
supply,0.2013
stations,0.1993
state,0.1989
countries,0.1748
company,0.1724
budget,0.1644
