tag_name,cosine_similarity
corporations,0.3966
industry,0.3754
economy,0.3653
billionaires,0.3523
hollywood,0.3478
market,0.3475
media,0.3469
entertainment,0.3423
crisis,0.3390
wealth,0.3383
critics,0.3367
finance,0.3350
investment,0.3317
trends,0.3290
criticism,0.3264
billionaire,0.3102
movie,0.3056
loss,0.3009
culture,0.2980
assets,0.2738
tesla,0.2611
disappointment,0.2599
expectations,0.2555
audience,0.2439
value,0.2283
disney,0.2085
pandemic,0.1981
netflix,0.1941
estate,0.1863
psychology,0.1849
china,0.1699
evaluation,0.1680
apple,0.1677
amazon,0.1635
meta,0.1536
realestate,0.1452
