tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
artificialintelligence,0.5333,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
intelligence,0.3834,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
computerization,0.3707,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
screenwriting,0.3313,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
ai,0.3066,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
education,0.2909,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
art,0.2764,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
technology,0.2672,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
futurism,0.2536,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
chatbot,0.2287,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
robotics,0.2283,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
economics,0.1931,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
philosophy,0.1849,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
media,0.1618,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
criticism,0.1587,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
business,0.1498,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
motivation,0.1292,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
strike,0.1196,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
money,0.1087,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
finance,0.1034,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
skepticism,0.0940,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
social,0.0756,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
bullying,0.0687,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
selling,0.0443,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
crush,0.0008,7.18785479366389e-15,0.03948667324777887,0.0,0.029615004935834154,-0.46799716353416443
