tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
corruption,0.4155,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
fraud,0.3775,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
prosecution,0.3297,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
scandal,0.3193,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
russia,0.2995,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
scams,0.2974,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
theft,0.2816,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
mafia,0.2748,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
inflation,0.2585,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
financial,0.2286,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
police,0.2285,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
protection,0.2229,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
conspiracy,0.2170,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
integrity,0.2083,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
europe,0.1986,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
failures,0.1939,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
politics,0.1817,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
speculation,0.1768,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
law,0.1687,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
surveillance,0.1627,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
accounting,0.1439,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
pyramid,0.1422,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
systemic,0.1360,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
finance,0.1322,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
scheme,0.1149,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
security,0.1115,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
tips,0.1035,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
pillars,0.1004,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
culture,0.0276,1.6901149486057004e-14,0.035541195476575124,0.0,0.025848142164781908,-0.42624107003211975
