tag_name,cosine_similarity
poland,0.4456
entrepreneurs,0.3518
entrepreneurship,0.3109
business,0.2830
startups,0.2730
economy,0.2630
smallbusiness,0.2618
trends,0.2457
bulgaria,0.2364
poverty,0.2186
europe,0.2092
poles,0.1929
russia,0.1861
politics,0.1454
fact,0.1380
interview,0.1359
media,0.1356
facts,0.1294
youth,0.1282
statistics,0.1216
gazeta,0.1216
finance,0.1203
market,0.1182
growth,0.1171
closure,0.1081
polling,0.1071
polls,0.0978
poll,0.0950
intro,0.0894
survey,0.0881
maturity,0.0828
taxation,0.0704
topic,0.0689
pause,0.0674
break,0.0661
money,0.0648
commentary,0.0625
fear,0.0521
funny,0.0469
restart,0.0398
resume,0.0359
complexity,0.0332
miscellaneous,0.0288
rules,0.0144
suspension,0.0074
recovery,0.0045
