tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
poland,0.4426,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
Poland,0.4214,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
inflation,0.4026,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
economy,0.3245,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
polska,0.3056,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
fiscal,0.2478,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
finance,0.2447,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
mariusz,0.1879,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
ekonomia,0.1705,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
business,0.1622,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
dissatisfaction,0.1499,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
politics,0.1385,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
rates,0.1329,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
stability,0.1171,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
government,0.1052,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
normalcy,0.1017,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
pricing,0.0919,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
moment,0.0704,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
break,0.0663,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
risk,0.0635,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
stutter,0.0296,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
trade,0.0080,3.312129685491959e-14,0.053745928338762225,0.0,0.03745928338762215,-0.4447057843208313
