tag_name,cosine_similarity
misforecast,0.4973
forecasts,0.4852
forecasting,0.4578
forecast,0.3986
economics,0.2984
finance,0.2697
future,0.2607
news,0.2451
real estate,0.2407
politics,0.2342
influence,0.2335
realestate,0.2289
economy,0.2289
propaganda,0.2281
expertise,0.2153
misguidance,0.2044
skepticism,0.2030
real_estate,0.2029
greed,0.2008
speculation,0.1992
misleading,0.1989
criticism,0.1965
interview,0.1889
apocalypse,0.1868
wisdom,0.1860
conspiracy,0.1845
governance,0.1838
experts,0.1800
banking,0.1783
cryptocurrency,0.1772
expert,0.1670
government,0.1655
disclosure,0.1469
intelligence,0.1469
media,0.1453
history,0.1453
insight,0.1436
growth,0.1350
bush,0.1323
money,0.1305
wars,0.1284
crryptocurrency,0.1272
profit,0.1173
rhetoric,0.1142
presidential,0.1085
scheme,0.1064
war,0.1048
taxation,0.0941
facts,0.0904
fear,0.0866
crypto,0.0803
revenue,0.0686
censorship,0.0646
freedom,0.0535
sheep,0.0297
irreverence,0.0162
military,0.0108
dissent,0.0095
gain,0.0073
shepherd,-0.0119
