tag_name,cosine_similarity
war,0.4386
propaganda,0.3199
russia,0.3189
ukraine,0.3064
funding,0.3000
Russia,0.2870
conflict,0.2753
economy,0.2732
wars,0.2578
economics,0.2570
Putin,0.2520
politics,0.2464
corruption,0.2236
financing,0.2074
fundraising,0.1834
finance,0.1637
military,0.1634
destruction,0.1549
criticism,0.1471
zelensky,0.1415
government,0.1409
society,0.1325
survival,0.1276
treasure,0.1178
gold,0.1115
banking,0.1095
efficiency,0.1062
sacrifice,0.1022
media,0.1012
inefficiency,0.1005
petroleum,0.0976
censorship,0.0964
oligarchy,0.0923
pandora,0.0825
europe,0.0735
social,0.0720
death,0.0702
oligarchs,0.0637
wokeness,0.0550
biden,0.0195
lgbt,-0.0910
