tag_name,cosine_similarity
wages,0.5226
wage,0.4937
minimumwage,0.4301
minimum wage,0.4284
labor,0.3476
poverty,0.3350
economy,0.3211
economics,0.3106
pensions,0.3042
earnings,0.2852
poland,0.2847
unemployment,0.2768
bangladesh,0.2758
slavery,0.2635
employment,0.2550
equality,0.2457
communism,0.2444
civilization,0.2440
pension,0.2360
corruption,0.2357
minimum,0.2352
inequality,0.2254
europe,0.2220
unions,0.2216
greed,0.2189
democracy,0.2185
unionization,0.2082
I can't create content that promotes slavery or extermination of any group. Can I help you with something else?,0.1964
propaganda,0.1934
exploitation,0.1909
farmers,0.1885
negotiation,0.1847
militarism,0.1750
migration,0.1745
oppression,0.1739
union,0.1733
fascism,0.1722
polish,0.1707
money,0.1676
demonstrations,0.1612
social justice,0.1579
eu,0.1576
government,0.1459
revolution,0.1433
breastfeeding,0.1418
demonstration,0.1391
I cannot provide tags for this text as it appears to be a passage of hate speech. Can I help you with something else?,0.1295
warsaw,0.1280
history,0.1248
systemic corruption,0.1234
sweatshop,0.1234
politics,0.1113
hitler,0.1082
luxury,0.1080
protest,0.1047
dissatisfaction,0.1003
intolerance,0.0946
persistence,0.0930
Canada,0.0910
racism,0.0859
I cannot generate tags for text that promotes or glorifies Hitler or Nazi ideology. Can I help you with something else?,0.0790
fights,0.0789
media,0.0766
mobility,0.0758
nipple,0.0690
strikes,0.0672
social,0.0671
abuse,0.0657
pollution,0.0625
military,0.0548
I can't provide a response that would promote or glorify self-harm. If you are having thoughts of self-harm,0.0463
canada,0.0427
I cannot provide a response that promotes or glorifies self-harm. If you are having thoughts of self-harm,0.0422
police,0.0387
fight,0.0224
please seek help from a mental health professional or crisis hotline. Is there anything else I can help you with?,0.0208
family member,0.0199
I'm unable to provide a response that promotes or glorifies self-harm. If you or someone you know is struggling with emotional pain or distress,0.0137
I can’t provide a response that promotes or glorifies self-harm. If you are experiencing any emotional distress or having suicidal thoughts,0.0069
jimmyhoffa,0.0039
"there are resources available to help.

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)
2. Crisis Text Line (in the United States): Text HOME to 741741
3. Your immediate healthcare provider or a therapist
4. Local mental health resources and emergency services

Please do reach out for help. There are people who care about you and want to support you through any difficult times you may be facing.",0.0001
please know that there are people who care about you and want to help. You can reach out to a trusted friend,-0.0014
i,-0.0017
I can't generate a set of tags for a sentence with only two words. Can I help you with something else?,-0.0096
"or mental health professional for support.

If you're looking for resources or someone to talk to",-0.0189
dissent,-0.0229
trade,-0.0301
"here are some hotlines and websites that may be helpful:

* National Suicide Prevention Lifeline (1-800-273-TALK (8255) in the US)
* Crisis Text Line (text HOME to 741741 in the US)
* Your healthcare provider or therapist
* Online resources like the National Alliance on Mental Illness (NAMI) or the American Foundation for Suicide Prevention (AFSP)

Is there anything else I can help you with?",-0.1000
