tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
pensions,0.5123,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
pension,0.4524,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
Pension,0.4456,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
poland,0.3303,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
ukraine,0.2561,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
poverty,0.2364,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
remittances,0.2049,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
SocialCritique,0.2016,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
bankruptcy,0.1996,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
policy,0.1877,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
corruption,0.1854,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
taxes,0.1786,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
taxation,0.1742,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
migration,0.1688,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
taxevasion,0.1677,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
economy,0.1538,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
government,0.1512,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
immigration,0.1469,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
expatriation,0.1459,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
Politics,0.1065,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
politics,0.1011,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
finance,0.0893,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
wars,0.0395,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
mafia,0.0171,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
short,0.0077,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
stolen,-0.0060,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
trade,-0.0456,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
break,-0.0464,3.85424665888702e-15,0.032879818594104306,0.0,0.02607709750566893,-0.5252641439437866
