tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
fiction,0.3234,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
dystopia,0.3139,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
propaganda,0.3023,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
food,0.3014,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
scifi,0.2877,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
skepticism,0.2362,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
knowledge,0.1946,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
discussion,0.1941,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
Scientology,0.1870,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
humor,0.1860,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
science,0.1776,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
Controversy,0.1776,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
Climate,0.1733,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
belief,0.1657,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
religion,0.1635,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
technology,0.1546,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
absurd,0.1543,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
Cults,0.1533,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
economy,0.1359,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
Hypocrisy,0.1315,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
media,0.1304,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
rations,0.1275,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
censorship,0.1160,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
climate,0.1111,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
cult,0.0970,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
cities,0.0953,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
sect,0.0876,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
chess,0.0799,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
Greta,0.0613,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
impairment,0.0468,3.3435449022223003e-15,0.03777148253068933,0.001892147587511826,0.03399433427762039,-0.4542316198348999
