tag_name,cosine_similarity
corruption,0.4155
fraud,0.3775
justice,0.3594
Poland,0.3535
scandal,0.3193
Justice,0.3154
Scandal,0.3149
katarzyna,0.3064
enforcement,0.3053
scam,0.3015
scams,0.2974
bribery,0.2819
crime,0.2770
mafia,0.2748
scammers,0.2651
inflation,0.2585
government,0.2444
police,0.2285
protection,0.2229
authorities,0.2166
compensation,0.2159
investments,0.2149
failure,0.2143
investment,0.2126
europe,0.1986
economy,0.1974
agency,0.1854
lawenforcement,0.1851
responsibility,0.1844
politics,0.1817
ambergold,0.1755
institutions,0.1740
law,0.1687
surveillance,0.1627
investing,0.1587
invest,0.1553
legal,0.1536
pyramid,0.1422
media,0.1327
finance,0.1322
credit,0.1308
system,0.1301
schemes,0.1282
order,0.1269
society,0.1260
help,0.1251
scheme,0.1149
security,0.1115
guard,0.1075
Fine,0.1032
fine,0.1021
safety,0.1012
pillars,0.1004
elite,0.1004
services,0.0974
ratings,0.0929
break,0.0898
pyramids,0.0895
broadcast,0.0722
rating,0.0495
