tag_name,cosine_similarity
poland,0.4456
Poland,0.4024
entrepreneurs,0.3518
Entrepreneurship,0.3374
businesses,0.3294
entrepreneurship,0.3109
business,0.2830
Business,0.2690
economy,0.2630
Trends,0.2521
trends,0.2457
economics,0.2430
europe,0.2092
poles,0.1929
I'm unable to provide relevant tags based on the provided text as it is incomplete and lacks context. Please provide a complete sentence or paragraph so that I can accurately analyze and tag the main topics and themes of the text.,0.1739
established,0.1560
media,0.1356
income,0.1345
statistics,0.1216
growth,0.1171
topics,0.1155
resilience,0.1082
I need a complete sentence or more text to provide relevant tags. Please provide the full context of the paragraph or section you want tagged.,0.0972
but the provided text does not contain enough context or information for me to generate meaningful tags. Please provide a more detailed or substantive text so that I can assist you better.,0.0969
Not enough context provided.,0.0890
difficult,0.0771
data,0.0727
breaks,0.0612
I'm sorry,0.0446
Sorry,0.0377
resume,0.0359
complexity,0.0332
mature,0.0246
conditions,0.0211
rules,0.0144
Conditions,0.0075
energy,0.0013
