tag_name,cosine_similarity
israelpalestine,0.4328
Hamas,0.3978
palestine,0.3941
Palestine,0.3806
israel,0.3735
Israel,0.3464
Terrorism,0.3350
terrorism,0.3281
corruption,0.3146
Security,0.2535
mossad,0.2504
middleeast,0.2470
war,0.2347
War,0.2323
security,0.2269
politics,0.2103
funding,0.2052
Politics,0.1957
hamas,0.1940
military,0.1880
secrets,0.1876
army,0.1838
conflict,0.1834
Zakat,0.1830
intelligence,0.1828
investment,0.1808
Ponzi,0.1773
Military,0.1768
economy,0.1631
shinbet,0.1614
Intelligence,0.1489
collaboration,0.1415
economics,0.1404
charity,0.1290
Fraud,0.1269
poverty,0.1190
Scam,0.1129
Collaboration,0.1122
fraud,0.1111
Islam,0.1108
islam,0.1067
Russia,0.1010
technology,0.0976
sacrifice,0.0975
scam,0.0972
history,0.0956
finance,0.0920
religion,0.0737
division,0.0686
despair,0.0655
suicide,0.0506
power,0.0505
manipulation,0.0388
death,0.0068
