tag_name,cosine_similarity
Poland,0.4124
poland,0.4053
Housing,0.3913
Japan,0.3735
japan,0.3572
housing,0.3267
economy,0.3152
demographics,0.2852
apartments,0.2666
migration,0.2425
japanese,0.2283
rent,0.2077
renting,0.2043
realestate,0.1995
culture,0.1927
living,0.1879
rental,0.1796
cheap,0.1530
lifestyle,0.1499
tokyo,0.1449
travel,0.1378
minimalism,0.1159
depopulation,0.1107
modest,0.0931
minimalist,0.0817
quality,0.0701
market,0.0622
noise,0.0603
tradition,0.0601
spartan,0.0586
seismology,0.0399
sound,0.0064
