tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
taxes,0.3078,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
regulations,0.2969,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
government,0.2961,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
tax,0.2766,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
housing,0.2602,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
surveillance,0.2367,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
policy,0.2235,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
emissions,0.2142,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
inefficiency,0.2137,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
data,0.2004,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
databases,0.1836,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
documents,0.1754,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
costs,0.1718,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
economy,0.1624,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
freedom,0.1514,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
citizen,0.1460,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
rights,0.1323,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
inspections,0.1075,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
employee,0.0982,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
nobility,0.0862,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
communication,0.0791,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
inevitability,0.0641,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
mess,0.0571,2.178587517839917e-15,0.0437044745057232,0.0020855057351407717,0.03329864724245577,-0.4267255961894989
