tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
Ukraine,0.4605,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
ukraine,0.4335,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
poland,0.3956,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
economy,0.3027,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
competition,0.2864,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
corruption,0.2791,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
communism,0.2444,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
economics,0.2403,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
euro,0.2374,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
independence,0.2308,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
europe,0.2294,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
sovereignty,0.2288,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
business,0.2115,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
war,0.2039,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
logistics,0.2002,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
ignorance,0.1830,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
entrepreneurship,0.1828,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
politics,0.1819,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
protest,0.1783,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
transport,0.1597,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
union,0.1593,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
government,0.1544,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
knowledge,0.1423,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
pandemic,0.1367,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
syringe,0.1360,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
prohibition,0.1330,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
strike,0.1002,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
crime,0.1001,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
permits,0.0880,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
limits,0.0803,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
farmer,0.0529,1.5524832708905552e-14,0.05450733752620545,0.001399580125962211,0.041928721174004195,-0.4626421630382538
