tag_name,cosine_similarity
forecasters,0.5116
forecasts,0.4852
forecasting,0.4578
forecast,0.3986
unpredictability,0.3575
economics,0.2984
prediction,0.2940
finance,0.2697
predictions,0.2654
inflation,0.2606
optimism,0.2424
realestate,0.2289
economy,0.2289
propaganda,0.2281
marketing,0.2244
expertise,0.2153
speculation,0.1992
conspiracy,0.1845
warn,0.1839
development,0.1837
experts,0.1800
banking,0.1783
cryptocurrency,0.1772
market,0.1695
expert,0.1670
influencer,0.1658
government,0.1655
warning,0.1554
media,0.1453
revelation,0.1426
complexity,0.1392
bitcoin,0.1389
technology,0.1297
information,0.1192
profit,0.1173
espionage,0.1095
banks,0.1069
secrecy,0.1050
war,0.1048
foundation,0.0994
message,0.0934
crypto,0.0803
it,0.0802
attack,0.0749
power,0.0649
censorship,0.0646
control,0.0516
rebellion,0.0425
guest,0.0305
sheep,0.0297
herd,-0.0108
shepherd,-0.0119
slaughter,-0.0173
forgiveness,-0.0199
