tag_name,cosine_similarity
war,0.4386
Ukraine,0.3360
russia,0.3189
putin,0.3148
ukraine,0.3064
Corruption,0.2765
conflict,0.2753
economy,0.2732
economics,0.2570
politics,0.2464
finances,0.2454
corruption,0.2236
financing,0.2074
oil,0.1866
costs,0.1675
finance,0.1637
military,0.1634
aid,0.1465
development,0.1461
zelensky,0.1415
production,0.1404
wallstreet,0.1346
society,0.1325
cost,0.1323
scandal,0.1171
gold,0.1115
energy,0.1108
reconstruction,0.1073
CIA,0.0878
cia,0.0670
lgtb,0.0627
blackrock,0.0162
